NP_006752.1	NM_006761.4	1433E_HUMAN	P62258-1
NP_036611.2	NM_012479.3	1433G_HUMAN	P61981-1
NP_006133.1	NM_006142.3	1433S_HUMAN	P31947-1
NP_001129171.1	NM_001135699.1	1433Z_HUMAN	P63104-1
NP_001129172.1	NM_001135700.1	1433Z_HUMAN	P63104-1
NP_001129173.1	NM_001135701.1	1433Z_HUMAN	P63104-1
NP_001129174.1	NM_001135702.1	1433Z_HUMAN	P63104-1
NP_003397.1	NM_003406.3	1433Z_HUMAN	P63104-1
NP_663723.1	NM_145690.2	1433Z_HUMAN	P63104-1
XP_005251118.1	XM_005251061.3	1433Z_HUMAN	P63104-1
XP_005251120.1	XM_005251063.3	1433Z_HUMAN	P63104-1
XP_016869299.1	XM_017013810.1	1433Z_HUMAN	P63104-1
XP_016869300.1	XM_017013811.1	1433Z_HUMAN	P63104-1
NP_001229687.1	NM_001242758.1	1A01_HUMAN	P30443-1
NP_001269108.1	NM_001282179.1	2A5E_HUMAN	Q16537-1
NP_006237.1	NM_006246.3	2A5E_HUMAN	Q16537-1
NP_001269110.1	NM_001282181.1	2A5E_HUMAN	Q16537-3
NP_001269111.1	NM_001282182.1	2A5E_HUMAN	Q16537-3
NP_001269109.1	NM_001282180.1	2A5E_HUMAN	Q16537-2
NP_036337.2	NM_012205.2	3HAO_HUMAN	P46952-1
NP_000665.1	NM_000674.2	AA1R_HUMAN	P30542-1
NP_001041695.1	NM_001048230.1	AA1R_HUMAN	P30542-1
NP_056480.1	NM_015665.5	AAAS_HUMAN	Q9NRG9-1
NP_001166937.1	NM_001173466.1	AAAS_HUMAN	Q9NRG9-2
NP_055726.3	NM_014911.3	AAK1_HUMAN	Q2M2I8-1
NP_005390.1	NM_005399.4	AAKB2_HUMAN	O43741-1
NP_002724.1	NM_002733.4	AAKG1_HUMAN	P54619-1
NP_001193638.1	NM_001206709.1	AAKG1_HUMAN	P54619-3
NP_001193639.1	NM_001206710.1	AAKG1_HUMAN	P54619-2
XP_006719562.1	XM_006719499.2	AAKG1_HUMAN	P54619-2
XP_011536864.1	XM_011538562.2	AAKG1_HUMAN	P54619-2
NP_004818.2	NM_004827.2	ABCG2_HUMAN	Q9UNQ0-1
XP_005263412.1	XM_005263355.3	ABCG2_HUMAN	Q9UNQ0-1
XP_011530722.1	XM_011532420.2	ABCG2_HUMAN	Q9UNQ0-1
NP_001244315.1	NM_001257386.1	ABCG2_HUMAN	Q9UNQ0-2
NP_071881.1	NM_022436.2	ABCG5_HUMAN	Q9H222-1
NP_001035937.1	NM_001042472.2	ABD12_HUMAN	Q8N2K0-1
NP_056415.1	NM_015600.4	ABD12_HUMAN	Q8N2K0-2
NP_001171596.1	NM_001178125.1	ABI1_HUMAN	Q8IZP0-11
NP_001171595.1	NM_001178124.1	ABI1_HUMAN	Q8IZP0-10
